Rate,Seller,Comment
5,Aksaray İletişim,Zamdan hemen önce aldım. Harika telefon. Apple kalitesi
5,Trendyol,Memnunum sağolun
5,Trendyol,sorunsuz elime ulaştı çok güzel
5,Erpa Holding,güzel teşekkür ederim
4,Trendyol,"2 günde elime ulaştı, sorunsuz alınabilir. Tek tavsiyem,  o kadar miktar ödeniyor keşke bir kılıf hediye koyulsaydı yanında."
5,Teknosa,Çok memnunum
5,Trendyol,"Tartışmaya gerek yok😍, 1 ay daha bekleseydim maaşı😁 14 alacaktım,"
5,ATACEL,Apple harika bir cihaz yapmış yakında Prosunu alacağım
5,MediaMarkt,RENGİ GÜZEL
5,Gürgençler Apple Yetkili Satıcı,Çok hızlı be sorunsuz bir şekilde teslim aldım
5,Kraft DTM,süper ürün
5,TekCep,Teşekkürler…
5,Teknosa,Apple kalitesi.Verilen parayı fazlasıyla hakkediyor .Bütçeniz uygunsa tercih edebilirsiniz.
5,Koycebine,iPhone 6S’ten 13’e geçiş yaptım. Zaten kalitesi tartışılmaz çok memnunum.
5,Teknosa,Teknosa güvencesiyle muazzam hızlı geldi herşey saglamdı
5,Teknosa,Çok memnunum indirimde alabildim
5,Nethouse,Teşekkürler çok güzel
5,Trendyol,iPhone kalite 🫶
5,Nasa İletişim,İphone kalitesi her zaman
5,Trendyol,Beklentimin üstünde geldi 8 plustan 13 e hızlı geçiş oldu kutulama gayet sağlamdı teşekkürler Trendyol 😊
5,Teknosa,Gayet başarılı
5,Nasa İletişim,Ürün güzel tavsiye ediyorum
5,BittiBitiyor,Gayet güzel geldi teşekkür ederim herşey tam ve güvenilir
5,teknolojiankara,Sorunsuz elime ulaştı. Kaliteli bir ürün.
5,Trendyol,güzel iş görür
5,Trendyol,Güzel olmuş
5,Nasa İletişim,Sağlam ve hızlı geldi ama biz 15700 de almıştık şuan 18400 baya fazla alıcaksanız biraz bekleyin derim
5,Trendyol,Çok güzel beğendim sorunsuz geldi
4,Nasa İletişim,Güzel ancak benden sonra bi 400₺ indirime girdi
5,Trendyol,telefon elime gayet sağlam şekilde ulaştı. önceki telefonum xiomi note 9 du. 4 yıl idare etti ama size şunu söyleyeyim iyiki almışım iPhone 13ü kamerası zaten tartışmaya kapalı ama telefonun geçiş hızı ve ekran çözünürlüğü de çok güzel. tavsiye ederim
5,Nasa İletişim,Çok güzel ve güvenilir
5,mobilePlus,"Gayet yeterli bir şekilde korunaklıydı. Çok güzel, teşekkürler."
5,Trendyol,"Apple kalitesi, indirimde iken aldım.  Fotoğraf video çekimleri harika. Özellikle sinematik modu👍"
5,Trendyol,Mükemmel ürün
5,Nasa İletişim,Çok kaliteli ürün
5,KimSatar,Hızlı teslimat İçin teşekkürler @kuzenlerden tavsiye ile indirimde 17 bine aldım
5,Trendyol,Ürün Çok İyi Mükemmel 5Yıldızı Hak Ediyor
5,KimSatar,Teşekkürler Güvenilir Sorunsuz Sıkıntısız ulaştı Tavsiye Ederim Gönül Rahatı ile alabilirsiniz
5,Cepekspress,Teşekkür ederim 🙏 beğendim
5,Trendyol,Çok güzel ürün hızlı teslimat
5,Aksaray İletişim,Başarılı alın
5,Kraft DTM,indirimde aldım o yüzden mutluyuum
5,Trendyol,Mükemmel trendyol güvencesi
5,Trendyol,Ürünü beğendik hızlı kargo için teşekkürler
5,Trendyol,süper ürünnnnn
5,Yirmidört,Uygun aldım iyi ki de almışım sorunsuz elime ulaştı
5,Nasa İletişim,"Sorunsuz geldi, teşekkürler"
5,Nasa İletişim,Sorunsuz ve hızlı bir şekilde geldi
5,Teknosa,Kardeşime aldım çok beğendi güvenli bi şekilde geldi
5,Gürgençler Apple Yetkili Satıcı,İyiki almışım dediğim bi telefon oldu. Çok teşekkür ederim
4,Nasa İletişim,Kalite kendini belli ediyor.
5,Trendyol,Hızlı kargo sorunsuz geldi Gönül rahatlığıyla alabilirsiniz.
5,FixDevice,Bayıldım resmen
5,Teknosa,Çok memnunum
5,Trendyol,Sorunsuz bir ürün çok memnunum
5,Teknosa,Başarılı Alışveriş sorunsuz şimdilik
5,Aksaray İletişim,On numara 5 yıldız
5,ALDIMGİTTİ,Çok memnunum güvenilir satıcı
5,Nasa İletişim,Çok güzel tavsiye ederim
5,Teknosa,çok güzel bir ürün.
5,Trendyol,Beğendim bence güzel
5,Trendyol,iPhone kalitesi tartışılmaz
5,Cepekspress,biraz tereddüt ederek aldım ama sorunsuz elime ulaştı
5,Hepsi10Line,24 saatte elime ulaştı. Çok başarılı. Teşekkür ediyorum.
5,Teknosa,Herhangi bir sorun yaşamadım teşekkürler
5,Trendyol,Harika teşekkürler
5,Nasa İletişim,güzel ve temiz
5,Cepekspress,Ürün  çok güzel.  Kesinlikle tavsiye ederim
5,Nasa İletişim,Mükemmel çok güzel geldi teşekkür ederim
5,Trendyol,Sorunsuz teslim aldım teşekkür ederim
5,Aksaray İletişim,teşekkürler
5,Teknosa,Çok memnunum
5,Trendyol,Hızlı kargo sorunsuz
5,ES VİSİON,Sağlam bir şekilde geldi
5,mobiloom,Süper ürün kaliteli
5,Troy Apple Yetkili Satıcı,ürün mükemmel Trendyol mükemmel
5,Trendyol,Hızlı kargo sağlam satıcı
5,Trendyol,Gayet güzel ve başarılı teşekkürler trendyol
5,Teknosa,Sorunsuz ulaştı
5,Erva Teknoloji,Ürün çok güzel kargolanmış 24 saat bile olmadan elime ulaştı. Teşekkür ederim.
5,Trendyol,Ürün kendini harika
5,Trendyol,APPLE SONUÇTA YORUMSUZ MÜKEMMEL
5,Cepekspress,Iphone kalitesi 👍👍👍
5,Troy Apple Yetkili Satıcı,Harika cihaz :)
5,Nasa İletişim,Çok hızlı bir telefon ve şarjı da çok iyi gidiyor.
5,Trendyol,Güzel bir Ürün Tavsiye ederim
5,E X E N,güvenilir satıcı çok memnunum telefondan zamlardan önce almıştım şanslıyım teşekkürler
5,Trendyol,Mükemmellllllll
5,Trendyol,Harika sorunsuz geldi
5,Cepekspress,Alalı 2 aydan fazla oldu iyi ki almışım
5,Teknosa,Eşim için aldım çok sevdi süper kalite
5,CİN CİN ELEKTRONİK,harika tsk edrm trenyol
5,Troy Apple Yetkili Satıcı,süper ürün çok tşk ederim
5,Nasa İletişim,Gayet hızlı ve sorunsuz elime ulaştı
5,Trendyol,sorunsuz geldi şuan için memnunum
