Page Number,Comment_ID,Comment_Text,Star_Count
1,1,Öncelikle kitabı çok beğendim. Çok işime yarayacak kitaplığımda durması çünkü bir dersi eğer unutursam tekrardan İnternet üzerinden dinlemek zorluk olacaktı ama şu an o ders bir tık uzağımda kitaplığımda. İçinden aktivasyon kodu çıktı ve videolar da bilgilendirici. Fiyatı da uygun yani tavsiye ederim.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
1,2,Gayet iyi. Sayfalar siyah beyaz ama benim için fark etmiyor. Öğrenmek için idealKullanıcı bu ürünü hesapkitap satıcısından aldı.,5
1,3,36 saatte elime geçen bu kitap kaliteli ve Python öğrenmek için güzel. İlgilenenlere tavsiye ediyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
1,4,Atıl Hoca yazdıysa birşey demeye gerek yok Perfect…Kullanıcı bu ürünü Unikod satıcısından aldı.,5
1,5,"akıcı anlatım, görseller ile destekli, bilale anlatır gibi :))Kullanıcı bu ürünü Unikod satıcısından aldı.",5
1,6,Ürün gayet güzel içinden gereken kodda çıkıyor benim beklentilerimi karşıladıKullanıcı bu ürünü Unikod satıcısından aldı.,5
1,7,Bitirmedim ama ayrıntılı anlatımı varKullanıcı bu ürünü Unikod satıcısından aldı.,5
1,8,"Kitapda, hizmetde super.tesekkurlerKullanıcı bu ürünü hesapkitap satıcısından aldı.",5
1,9,Ürün hızlı geldi beğendim kaliteli kitapKullanıcı bu ürünü hesapkitap satıcısından aldı.,4
1,10,TeşekkürlerKullanıcı bu ürünü hesapkitap satıcısından aldı.,5
Page Number,Comment_ID,Comment_Text,Star_Count
2,1,"Online ders almama rağmen orda atladıkları bir sürü bilgi olduğunu fark ettim, en azından yardımcı kaynak olarak kesinlikle tavsiye ediyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
2,2,"Kitap içeriği ve Atıl hocanın anlatış biçimini çok sevdim. Kitapta python dilinin temellerinden başlayarak siber güvenlik, web tasarım gibi konuları ele alınıyor. Eğer python için bir kitap arıyor ve başlangıç seviyesi olsun diyorsanız daha fazla beklemenize gerek yok.Kullanıcı bu ürünü Unikod satıcısından aldı.",5
2,3,Sıfırdan başlayacak bir kişi için iyiKullanıcı bu ürünü Unikod satıcısından aldı.,5
