Page Number,Comment_ID,Comment_Text,Star_Count
1,1,Çok beğendim renkleri çok canlı güzel paketlenmiş sağlam geldi pasta tabagiyla takım yaptımKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
1,2,Ürününün paketlenmesi çok güzeldi kırık gelecek diye çok korktum ama sorunsuz geldi teşekkür ederimKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
1,3,100 yıldızlık ürün ne kadar övsem az kalır tam istediğim gibi desenleri ve porseleni o kadar kaliteliki 6 lı fincan takımını böyle ayrı ayrı almak bana daha mantıklı geliyor çünkü zamanla insan aynı desenden sıkılıyor bunlar bireysel ikili de kombinlenir bu arada kargo bayağı sağlam geldi paketleme çok güzeldi  🌟Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
1,4,"Ba-yıl-dım 🌿
Tek kelime ile muhteşemler. Kalitesi çok iyi. Kargo ve paketleme gayet başarılı. Karaca ve hepsiburada'ya teşekkürler 🧡Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej",5
1,5,Karaca kalitesi hiç şaşırtmıyor. Kargom öncelikle hızlı geldi. Paketlemesi çok ayrıntılı yapılmıştı. Fincan takımını çok beğendim.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
1,6,Cok begendım aynı seriden tatlı tabaklarını da aldım guzel bır takım olduKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
1,7,Tek kelime ile harika kırılır diye korkarak sipariş verdim ancak sapasağlam geldi resimden çok daha güzeldi çeyizde olması gereken bir fincan 🤍🤍🧿🫶🏻Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
1,8,Fotoğraftaki ile aynı çok güzeller. Kargo sadece kutu ile getirdi iyi ki sorunsuz kırılmadan geldi bazı yerlerinde sadece nokta şeklinde boyalar vardı ama göze batmıyor. Güvenerek alabilirsinizKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
1,9,Bir tane bardak içten çatlak şekilde geldi ama ürün çok tatlı bu şekilde kullanacağımKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,4
1,10,Ürün elime sorunsuz bir şekilde geldi ulaştı ve çok beğendim çok bayıldım Tam istediğim gibi çok tatlı duruyorlar Bence herkesin ya çeyizinde ya da evinde olması gereken bir fincan takımı gönül rahatlığı ile alabilirsiniz satıcıya buradan çok teşekkür ederim Çok güzel paketlenmiş hiçbir şekilde ne kırık ne çizik ne pas hiçbir şey görmedim çok severek ve gülerek kullanacağım ilk kahvemi de yaptım gerçekten teşekkür ederimKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
Page Number,Comment_ID,Comment_Text,Star_Count
2,1,Özenle paketlenmişti bayıldıımmmmmKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
2,2,Kesinlikle beş yıldızı hakediyor gerçekten çok güzelmis çok çok beğendim almak isteyenlere kesinlikle tavsiyemdir alın çok güzel bir fincan takımı severek kullanicam🤍🤍🤍Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
2,3,"Çok güzeller bayıldık. Sorunsuz ve hızlı bir şekilde teslim edildi, teşekkürler.Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej",5
2,4,Paketleme özenli güzeldi. Fincanlardan bazısının gorsel rengi soluk. Fincanı tabaga koyunca çok kıpırdama yapıyor. 1 tane tabağı da ufakta olsa kırık geldi ama çok küçük olduğu için kargoyla uğraşmak zor geldi geri göndermeyecegimKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,4
2,5,"Çok güzeller ve oldukça kaliteli 
Kargolama da guzeldi,kırık vs yok
TesekurlerKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej",5
2,6,"Çok teşekkür ederim Hepsiburada ve Karacaya  sağlam pakatleme ve kaliteniz için çok şık, çok güzeller 🧿Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej",5
2,7,O kadar tatlı ki çeyizim için aldım çok güzel paketlenmişti hepsi sağlam geldiKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
2,8,Güzel ama bazı tabakların altı pütürlüKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
2,9,Ürünü kampanya dan aldim çok şık ve güzel sorunsuz geldi kırık çizik yok 2gunde elime ulastiKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
2,10,"harıka,bayıldım.minik ve güzel.paketleme de özenli.baya teşekkürler.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej",5
Page Number,Comment_ID,Comment_Text,Star_Count
3,1,Paketleme çok güzeldi. Fincanlar çok güzel.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
3,2,Çok beğendim çok güzel çok şık💐Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
3,3,"iki fincanda küçük deformeler var, paketleme cok guzeldi beğenerek ve indirimden aldığım icin iade etmiycemKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej",4
3,4,Çok beğendim değişik hayvan desenli olması çok güzel herzaman aynı fincan kullanmak zorunda kalmayıp değişiklik oluşturacak.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
3,5,Tek kelime ile muhteşemKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
3,6,Çok beyendim sıkıntısız çok kısa zamanda ulaştı tsklerKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
3,7,Uzun zamandır beğeniyordum indirmli en uygun buradayken aldım sağlam şekilde geldi 🦩🦒🦓🐆🐘🦌Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
3,8,Çok çok beğendim bayıldım iyi ki almışım bir fincanın kulpu hafif problemli gibi ama yapacak bişi yok uğraşamam iadeyleKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
3,9,Ürün mükemmel bence çok modern. Ancak bir tanesinin kulbu çatlakmış yıkadıktan sonra farkettim iade edemedim 😞Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,4
3,10,Birkaç kullanımdan sonra resimlerde ki gibi çatladı. Memnun kalmadım.Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,4
Page Number,Comment_ID,Comment_Text,Star_Count
4,1,iki kutuda ve baya sarılmış geldi açarken zorlandım kaliteli ve güzel biz beğendik❤️Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
4,2,Paketlenmesi harika tek bir sorunla karşılaşmadım resimlerin kalitesi cok cok iyi 🥰Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
4,3,herşeyi ile harika kutusuna bayıldım..hediye için çok iyi olurKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
4,4,Jet hızda kargo 😍 Dün aksam saat 9 10 gibi siparişi oluşturdum kısa süre içinde kargoya verildi ve bu sabah saat 9 buçukta teslim edildi bu ne hııız. Ürünüm de sapasaglam bir sekilde teslim edildi çok begendimmm 💜 hızlı kargo ve sağlam teslimat için teşekkür ederim 😊Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
4,5,Çokk beğenerek aldım hep takip ediyodum indirimde yakaladım çeyizime aldımm aşırı güzeller insan kullanmaya kıyamazz alın aldırınnKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
4,6,Bir tanesi kırık geldi değiştirilmesini telepati edeceğim aşırı iyi paketlendiği söylenemezKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
4,7,Paketleme çok güzeldi. Kırık falan yok. Çok beğendim. Renkler çok hoş. Teşekkürler Hepsiburada 😍Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
4,8,Tam beklediğim gibi çok beğendim. Elime sağlam ulaştı.Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
4,9,Ürün güzel alınabilir ama satıcı hasarlı ürün yollamış kargoda olacak birşey değil üretimden olduğu belli Karacaya yakışmayacak bir durumKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,4
4,10,Ürün zaten göründüğü gibi kargo da pakatleme de çok iyi gönül rahatlığı ile alabilirsinizKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
Page Number,Comment_ID,Comment_Text,Star_Count
5,1,Ürün zaten göründüğü gibi kargo da pakatleme de çok iyi gönül rahatlığı ile alabilirsinizKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
5,2,Bu takıma bir senedir bakıyorum bi türlü karar veremiyordum indirime girdiğine an kaptım cok güzel geldi çeyize kaldırdımKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
5,3,Ürün güzel alınabilir ama satıcı hasarlı ürün yollamış kargoda olacak birşey değil üretimden olduğu belli Karacaya yakışmayacak bir durumKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,4
5,4,"Fotoğrafta göründüğünden çok daha güzel, canım Görkitomda görüp atmıştım sepete🥰Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej",5
5,5,Teslimat tarihinden önce teslim edildi ve paketleme gayet sağlam ve özenliydi.satıcıya çok teşekkür ederim gerçekten çok güzeller tavsiye ederim kesinlikleKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
5,6,Paketleme gayet iyiydi sadece bir tanesinin kiloya bı sıkıntısı var gibi ama ben çok sevdim fiyatında gayet iyi tavsiye ederimKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
5,7,"Kesinlikle harika, boyutu renkleri kalitesi hepsine bayıldım. Paketlemesi de güzeldiKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej",5
5,8,paketlemesi desenleri çok iyi kargo sorunsuzKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
5,9,Çok güzeller. Paketleme harika. TeşekkürlerKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,4
5,10,Mukemmel beklediğimden daha güzelKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
Page Number,Comment_ID,Comment_Text,Star_Count
6,1,Mukemmel beklediğimden daha güzelKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
6,2,"bayıldım, bu fiyata alınabilecek en güzel kahve fincanı 🥰Kullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej",5
6,3,Çok güzel bir ürün renkler tasarım harikaKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
6,4,"Fincanın ağız kısmı kırık geldi. Leoparlı fincan ise tek tarafı hatalı boya geldi.3 modeli beğendim diğerleri soluk renkte,alt üst ton farklı.kırık olması sebebiyle iade edicem.Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej",3
6,5,Güzeldi sadaca kargo çok kötü kargocuyu değiştirmeniz laxım kırık geldi iadesi yapmak zorunda kaldımKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
6,6,Çeyizim için almak istiyordum indirimden aldım paketlenmesi vs her şey çok güzeldiKullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
6,7,"Çok güzel kullanışlı kalitelibir ürün . Boyut olarakta ideal , küçük gelir diye düşünmüştüm ama standart ölçülerde.Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej",5
6,8,Çok beğenerek aldım . Muhteşem bir paketleme ile geldi ve hiçbir sorun yoktu. Çok teşekkür ediyorum .Kullanıcı bu ürünü Karaca satıcısından aldı.RenkBej,5
6,9,Güzel paketleme çok güzel geldiKullanıcı bu ürünü Hepsiburada satıcısından aldı.RenkBej,5
